"Ormsby Filter: 5-10-40-45(Hz)","Time (ms)","AI Model Trace","AI Filtered Trace","RC Model Trace","RC Filtered Trace","Impulse Trace","Filter Impulse Response","DFT Window"
" ",-13,1,-0.0026120584962251,0,0.00077887097123752,0,-4.6391928623553E-5,0
" ",-9,1,-0.0018008495413042,0,0.00056422955709169,0,-0.00084769597766027,0
" ",-5,1,-0.001444967980839,0,7.6329635280119E-5,0,-0.0015544456876692,0
" ",-0.99999999999997,1,-0.0015015091633036,0,-9.2165070211493E-5,0,-0.0012935084896991,0
" ",3,1,-0.0014793089945539,0,0.00017937510213457,0,-0.00038651099642642,1
" ",7,1,-0.0010937821675784,0,0.00046059443744705,0,0.00021661263181247,1
" ",11,1,-0.00059406077891984,0,0.00035363958830817,0,0.00016541835209549,1
" ",15,1,-0.00039918814092916,0,-1.5730705087455E-5,0,4.7095896922264E-17,1
" ",19,1,-0.00056282667934679,0,-0.00022090428640699,0,0.0001838638843557,1
" ",23,1,-0.00079179099716901,0,-0.00016536970863388,0,0.00026763593092371,1
" ",27,1,-0.00099117835836349,0,-0.00025413932961994,0,-0.00053093439245889,1
" ",31,1,-0.0015489643534392,0,-0.00080436924901131,0,-0.0019759353557822,1
" ",35,1,-0.0028447416133327,0,-0.0014410381464832,0,-0.0026414694874422,1
" ",39,1,-0.004532801541876,0,-0.0013901898783048,0,-0.0016030815429327,1
" ",43,1,-0.0056472838146996,0,-0.00049510025551318,0,-9.7683159747582E-5,1
" ",47,1,-0.0056816940827721,0,0.0003060969297712,0,-0.00068623577414545,1
" ",51,1,-0.0054293870014601,0,-0.00010016869138963,0,-0.0041940312900595,1
" ",55,1,-0.0063099905703005,0,-0.0015161363025566,0,-0.0078708080694479,1
" ",59,1,-0.0085805172735157,0,-0.0022213324070771,0,-0.0076490648030162,1
" ",63,1,-0.010455583452514,0,-0.00070800475001289,0,-0.0028383529770986,1
" ",67,1,-0.0095771934914373,0,0.0023240492051235,0,0.0020411269990028,1
" ",71,1,-0.0056606834056631,0,0.0041904533970036,0,0.0014075182313998,1
" ",75,1,-0.0013284381316375,0,0.0029778792349129,0,-0.0048043454761908,1
" ",79,1,0.000380778042467,0,6.179617210096E-5,0,-0.0095984231541071,1
" ",83,1,-0.00038133437962774,0,-0.00076294625437091,0,-0.0055285580167806,1
" ",87,1,0.00034284939782405,0,0.0027122590282672,0,0.0065649824102068,1
" ",91,1,0.0064887023527826,0,0.0080718296427111,0,0.016642490296852,1
" ",95,1,0.017244686654641,0,0.010049549815391,0,0.015174860139185,1
" ",99,1,0.026822088311094,0,0.0060460544691597,0,0.0042938635800104,1
" ",103,1,0.029945471100483,0,-0.00032573668404328,0,-0.0023831828668457,1
" ",107,1,0.027829019772552,0,-0.0022157960945841,0,0.0066757769175421,1
